epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.585811675,0.154746786,0.728069484,1.00E-04,0.240748242,0.735633373,0.793670356,0.135824382,0.666563928,0.103471167,0.028223071
1,0.802608788,0.156137735,0.529166579,1.00E-04,0.407988697,0.513930857,0.825818479,0.116596445,0.558826029,0.018543005,0.000543271
2,0.845012188,0.173512861,0.476216346,1.00E-04,0.518159807,0.543051004,0.829226375,0.10813573,0.504918098,0.065748639,0.000610842
3,0.862508535,0.192300439,0.441644222,1.00E-04,0.57697475,0.565328419,0.832429528,0.118082851,0.470216721,0.563339651,0.060181469
4,0.875014067,0.209464833,0.414755017,1.00E-04,0.626328886,0.570524812,0.846180856,0.172558174,0.433579862,0.594986975,0.333842367
5,0.886237562,0.225379258,0.389225721,1.00E-04,0.675984323,0.578916371,0.844946444,0.233458683,0.441161036,0.555145621,0.572609603
6,0.89639926,0.241714075,0.365759343,1.00E-04,0.720353127,0.598628283,0.814776301,0.262432784,0.703116894,0.481042087,0.697392583
7,0.905045748,0.259551883,0.344423264,1.00E-04,0.757245481,0.621030688,0.822306812,0.275196791,0.650890827,0.496519148,0.716657519
8,0.911742151,0.277322531,0.325131565,1.00E-04,0.783121765,0.643574357,0.823987901,0.281844974,0.54232496,0.500533879,0.724270523
9,0.921037078,0.291505247,0.307265848,1.00E-05,0.828153431,0.661695302,0.876421511,0.252997428,0.372441739,0.690118611,0.52760905
10,0.925244451,0.302045614,0.29933545,1.00E-05,0.83479017,0.688708365,0.876886725,0.2530379,0.371172816,0.693833649,0.524486363
11,0.927032173,0.307913184,0.295459479,1.00E-05,0.838476479,0.698923588,0.87623018,0.257085949,0.373333663,0.684856892,0.53756994
12,0.928569794,0.31270054,0.292089641,1.00E-05,0.843204439,0.705493629,0.875884414,0.259204209,0.374307811,0.681571424,0.541477382
13,0.929997921,0.317048877,0.288936138,1.00E-05,0.848057747,0.71096158,0.875499427,0.261634558,0.375553995,0.677503347,0.547082126
14,0.931340992,0.321107358,0.285899848,1.00E-05,0.852832437,0.715785921,0.875378549,0.263237983,0.376168072,0.676318228,0.548790336
15,0.933419645,0.323642641,0.282805473,1.00E-06,0.865338743,0.716376901,0.877965391,0.258966625,0.369674176,0.697705984,0.528964996
16,0.933709085,0.325136364,0.282034427,1.00E-06,0.863845825,0.720823109,0.877621889,0.262033045,0.371443182,0.689806461,0.543194532
17,0.933849931,0.32602042,0.281604201,1.00E-06,0.86308825,0.723014057,0.877378523,0.263314158,0.3720918,0.686427832,0.548568726
18,0.933985054,0.326669097,0.281236172,1.00E-06,0.862967968,0.724301994,0.877322674,0.263761193,0.372155964,0.685593963,0.550011098
19,0.934116721,0.327222407,0.280895472,1.00E-06,0.863099098,0.725233257,0.8773067,0.263976961,0.372131377,0.685413837,0.550297618
